"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Cabo Verde","CPV","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.9199981689453","","","","","","","","","",
"Costa Rica","CRI","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","34.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.25","75.4700012207031","75.5899963378906","77.2399978637695","76.4499969482422","77.7099990844727","78.6800003051758","79.2099990844727","79","79.7099990844727","79.8499984741211","80.9599990844727","81.1800003051758","80.9300003051758","80.9599990844727","81.5100021362305","81.75","82.7600021362305","82.8899993896484","83.7600021362305","83.8899993896484","86.1299743652344","",
"Caribbean small states","CSS","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.9400024414062","","","","","","","","","","91.1900024414062","","","","","","","91.9494781494141","","","","","",
"Curacao","CUW","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.4959869384766","","99.4000015258789","","","","",
"Cayman Islands","CYM","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.0299987792969","98.8499984741211","98.8499984741211","97.2300033569336","98.870002746582","","","","","","99.7799987792969","99.0299987792969","","","","","","","","","",
"Cyprus","CYP","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.879997253418","","","","","","","","","","","","89.129997253418","91.6999969482422","92.5299987792969","92.620002746582","92.5100021362305","92.5299987792969","93.129997253418","94.7699966430664","94.0400009155273","94.3600006103516","93.9100036621094","93.8899993896484","95.0100021362305","95.5828704833984","95.5800018310547","95.4170227050781","95.9899978637695","96.9952926635742","97.4122848510742","","",
"Czechia","CZE","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.879997253418","99.879997253418","99.870002746582","99.870002746582","99.870002746582","99.8600006103516","99.870002746582","99.8499984741211","99.8499984741211","99.8499984741211","99.8399963378906","99.879997253418","99.8768997192383","99.8600006103516","99.8600082397461","99.8710784912109","99.2167587280273","","",
"Germany","DEU","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","99.1565322875977","100","99.0888977050781","100","99.0024642944336","98.9965896606445","","",
"Djibouti","DJI","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.2820701599121","","","","","","","",
